Designator,Mid X,Mid Y,Layer,Rotation
C1,67.9,23.9,Top,270
C10,72.26,13.11,Top,270
C11,67.02,13.11,Top,270
C12,61.93,13.11,Top,270
C13,59.58,13.11,Top,270
C14,55.26,3.1,Top,90
C15,89.53,13.23,Top,270
C16,55.3,17.91,Top,180
C17,80,13.11,Top,270
C18,74.84,13.11,Top,270
C19,69.68,13.11,Top,270
C2,90.1,26.7,Top,90
C20,64.44,13.11,Top,270
C21,56.89,13.1,Top,270
C22,55.21,7.6,Top,90
C23,72.6,27.3,Top,90
C24,60.6,28.5,Top,90
C25,32.1,10.3,Top,180
C26,35.8,8.6,Top,270
C27,39.2,1.9,Top,180
C28,24.4,6.75,Top,0
C29,28,8.4,Top,90
C3,89.6,20.5,Top,90
C4,53.8,23.1,Top,270
C5,84.2,20.6,Top,270
C6,81.74,20.7,Top,270
C7,84.66,13.21,Top,270
C8,82.28,13.21,Top,270
C9,77.42,13.11,Top,270
D1,56.6,23.4,Top,270
D2,78.29,27.23,Top,270
D3,74.89,27.33,Top,270
D4,81.8,27.1,Top,270
D7,22,10.6,Top,0
J4,6.2,27.5,Top,0
JP2,39.9,7.1,Top,0
JP4,16.3,9.9,Top,180
L1,86.6,27,Top,270
L2,60.7,22.8,Top,90
L3,63.3,29.1,Top,90
L4,66,29.1,Top,90
LED1,43.5,7.4,Top,180
LED2,42.9,5.6,Top,0
LED3,43.6,9.2,Top,180
P1,73.83,7.82,Top,0
Q1,73.2,22.8,Top,90
Q2,64.5,22.55,Top,0
Q3,24.4,3.3,Top,90
R1,64.6,18.3,Top,0
R10,68.4,29.1,Top,270
R11,57.2,28.6,Top,270
R12,53.8,28.4,Top,270
R13,7.5,16.2,Top,180
R14,15.5,20.7,Top,0
R15,20.25,7.4,Top,90
R16,28,4,Top,270
R17,39,4.5,Top,0
R18,43.45,2.65,Top,0
R19,32.1,7.9,Top,0
R2,79,20.6,Top,270
R20,18,29.2,Top,90
R21,39.1,9.4,Top,180
R22,16.5,23.1,Top,0
R24,12.5,25.8,Top,270
R25,16.8,26.05,Top,0
R26,10.5,12.5,Top,0
R27,10.25,10.1,Top,0
R28,10.25,7.8,Top,0
R29,10.25,5.5,Top,0
R3,60,18.4,Top,180
R30,3.15,16.15,Top,0
R4,76.3,20.6,Top,270
R5,87,20.6,Top,270
R6,71.39,19.26,Top,0
R7,68.08,19.61,Top,270
R8,87.22,13.03,Top,270
R9,54.44,13,Top,270
S3,39.87,15.31,Top,270
S4,13.8,30.15,Top,180
SHLD,15,17.85,Top,180
U$4,6.17,19.96,Top,180
U1,32.95,3.75,Top,270
U2,20.35,3,Top,180
U3,28.6,21.83,Top,90
U4,15.95,5.95,Top,270
